,Failo URL,TS pavadiniams,Kategorijos,Puslapio URL
0,https://www.litgrid.eu/uploads/files/dir561/dir28/dir1/17_0.php,10 kV kintamos srovės perjungimo ir valdymo įrenginiams metaliniame gaubte (2020-11-18 Nr. 20NU-419),/Pirminiams įrenginiams ir TP savosioms reikmėms/10 kV,https://www.litgrid.eu/index.php/tinklo-pletra/standartiniai-techniniai-reikalavimai/pirminiai-irenginiai-ir-tp-savosios-reikmes/10-kv/31036
1,https://www.litgrid.eu/uploads/files/dir515/dir25/dir1/11_0.php,10 kV statiniams šunto reaktoriams 2018-04-10 NU-99,/Pirminiams įrenginiams ir TP savosioms reikmėms/10 kV,https://www.litgrid.eu/index.php/tinklo-pletra/standartiniai-techniniai-reikalavimai/pirminiai-irenginiai-ir-tp-savosios-reikmes/10-kv/31036
2,https://www.litgrid.eu/uploads/files/dir657/dir32/dir1/14_0.php,"110 kV matavimo transformatoriams su dujų, nesukeliančių visuotinio atšilimo, izoliacija 2022-12-21 Nr. 22NU-471",/Pirminiams įrenginiams ir TP savosioms reikmėms/110 kV,https://www.litgrid.eu/index.php/tinklo-pletra/standartiniai-techniniai-reikalavimai/pirminiai-irenginiai-ir-tp-savosios-reikmes/110-kv/31024
3,https://www.litgrid.eu/uploads/files/dir657/dir32/dir1/13_0.php,"110 kV jungtuvams su dujų, nesukeliančių visuotinio atšilimo, izoliacija 2022-12-21 Nr. 22NU-470",/Pirminiams įrenginiams ir TP savosioms reikmėms/110 kV,https://www.litgrid.eu/index.php/tinklo-pletra/standartiniai-techniniai-reikalavimai/pirminiai-irenginiai-ir-tp-savosios-reikmes/110-kv/31024
4,https://www.litgrid.eu/uploads/files/dir655/dir32/dir1/11_0.php,110 kV matavimo transformatoriams 2022-12-06 Nr. 22NU-444,/Pirminiams įrenginiams ir TP savosioms reikmėms/110 kV,https://www.litgrid.eu/index.php/tinklo-pletra/standartiniai-techniniai-reikalavimai/pirminiai-irenginiai-ir-tp-savosios-reikmes/110-kv/31024
5,https://www.litgrid.eu/uploads/files/dir654/dir32/dir1/18_0.php,110 kV polimeriniams strypiniams izoliatoriams 2022-12-08 Nr. 22NU-448,/Pirminiams įrenginiams ir TP savosioms reikmėms/110 kV,https://www.litgrid.eu/index.php/tinklo-pletra/standartiniai-techniniai-reikalavimai/pirminiai-irenginiai-ir-tp-savosios-reikmes/110-kv/31024
6,https://www.litgrid.eu/uploads/files/dir657/dir32/dir1/2_0.php,110 kV ryšio užtvėrikliams 2022-10-27 Nr. 22NU-394,/Pirminiams įrenginiams ir TP savosioms reikmėms/110 kV,https://www.litgrid.eu/index.php/tinklo-pletra/standartiniai-techniniai-reikalavimai/pirminiai-irenginiai-ir-tp-savosios-reikmes/110-kv/31024
7,https://www.litgrid.eu/uploads/files/dir657/dir32/dir1/1_0.php,110 kV ryšio kondensatoriams 2022-10-31 Nr. 22NU-399,/Pirminiams įrenginiams ir TP savosioms reikmėms/110 kV,https://www.litgrid.eu/index.php/tinklo-pletra/standartiniai-techniniai-reikalavimai/pirminiai-irenginiai-ir-tp-savosios-reikmes/110-kv/31024
8,https://www.litgrid.eu/uploads/files/dir615/dir30/dir1/10_0.php,110 kV kompaktiniams mišrios technologijos komutaciniams įrenginiams 2022-07-28 Nr. 22NU-279,/Pirminiams įrenginiams ir TP savosioms reikmėms/110 kV,https://www.litgrid.eu/index.php/tinklo-pletra/standartiniai-techniniai-reikalavimai/pirminiai-irenginiai-ir-tp-savosios-reikmes/110-kv/31024
9,https://www.litgrid.eu/uploads/files/dir615/dir30/dir1/12_0.php,110 kV skyrikliams 2022-07-27 Nr. 22NU-277,/Pirminiams įrenginiams ir TP savosioms reikmėms/110 kV,https://www.litgrid.eu/index.php/tinklo-pletra/standartiniai-techniniai-reikalavimai/pirminiai-irenginiai-ir-tp-savosios-reikmes/110-kv/31024
10,https://www.litgrid.eu/uploads/files/dir615/dir30/dir1/4_0.php,400-110 kV vamzdiniams laidininkams 2022-07-26 Nr. 22NU-276,/Pirminiams įrenginiams ir TP savosioms reikmėms/110 kV,https://www.litgrid.eu/index.php/tinklo-pletra/standartiniai-techniniai-reikalavimai/pirminiai-irenginiai-ir-tp-savosios-reikmes/110-kv/31024
11,https://www.litgrid.eu/uploads/files/dir576/dir28/dir1/14_0.php,110 kV 2kl ribotuvams 2021-06-15 Nr. 21NU-194,/Pirminiams įrenginiams ir TP savosioms reikmėms/110 kV,https://www.litgrid.eu/index.php/tinklo-pletra/standartiniai-techniniai-reikalavimai/pirminiai-irenginiai-ir-tp-savosios-reikmes/110-kv/31024
